PX,Main,Midblock Route,Side 1 Route,Side 2 Route,Activation Date,Latitude,Longitude,Count Date,8HrVehVol,8HrPedVol
297,BATHURST ST,,FRONT ST W,,27-Oct-1950,43.640732,-79.401378,4/11/2015,13833,2556
298,BATHURST ST,,RICHMOND ST W,,10-Mar-1961,43.646453,-79.403717,8/18/2015,11748,3918
300,COLLEGE ST,,BATHURST ST,,31-Jan-1928,43.656469,-79.407705,4/11/2015,14329,8776
303,BATHURST ST,,HARBORD ST,,09-Mar-1929,43.6615152,-79.409748,4/18/2015,15337,3012
305,BATHURST ST,,DUPONT ST,,06-Mar-1939,43.67314,-79.414344,4/11/2015,20173,1975
306,BATHURST ST,,NINA ST,,10-May-1949,43.6798123,-79.41699,4/1/2015,17065,840
307,BATHURST ST,,LONSDALE RD,CLAXTON BLVD,01-Jan-1955,43.687185,-79.419939,4/7/2015,17157,508
308,BATHURST ST,,BURTON RD,STRATHEARN RD,03-Apr-1960,43.6919174,-79.421873,4/1/2015,19676,345
310,BATHURST ST,,BRIAR HILL AVE,,01-Jan-1967,43.7079008,-79.427022,4/1/2015,20567,572
311,BATHURST ST,,VIEWMOUNT AVE,,09-Jun-1962,43.710496,-79.427686,3/31/2015,18617,924
312,BATHURST ST,,GLENCAIRN AVE,,10-Jan-1956,43.7123271,-79.428131,4/11/2015,15498,1482
313,BATHURST ST,,SHELBOURNE AVE,,22-Oct-1962,43.7159806,-79.428973,3/31/2015,19333,1139
314,BATHURST ST,,SARANAC BLVD,,18-Sep-1961,43.7230833,-79.430627,3/31/2015,17368,687
316,BATHURST ST,,RANEE AVE,,08-Apr-1970,43.7269581,-79.431513,4/11/2015,12621,666
